id_x;municipio;ano;previsao_homicidios;previsao_min;previsao_max;n_anos_dados;margem_erro_k;correlacao_temporal_r;erro_padrao_se;fator_penalidade_fr;id_y;total_vitimas_ano;classificacao
1;ACEGUA;2022;1;0;7;3;6.1237;0.4039;2.4495;2.5;2992;1;Dentro do Previsto
2;AGUDO;2022;2;0;6;3;3.6742;-0.9107;3.6742;1.0;3000;1;Dentro do Previsto
3;AJURICABA;2022;0;0;0;3;0.0;;0.0;2.5;3004;0;Dentro do Previsto
4;ALECRIM;2022;1;0;3;3;2.4495;-0.6867;1.2247;2.0;3008;1;Dentro do Previsto
5;ALEGRETE;2022;30;10;51;3;20.4124;-0.0176;8.165;2.5;3012;31;Dentro do Previsto
6;ALEGRIA;2022;1;1;2;3;0.4082;-1.0;0.4082;1.0;3016;0;Abaixo do Previsto
7;ALPESTRE;2022;2;1;4;3;1.633;0.9449;1.633;1.0;3024;4;Dentro do Previsto
8;ALTO FELIZ;2022;1;1;2;3;0.4082;-1.0;0.4082;1.0;3032;0;Abaixo do Previsto
9;ALVORADA;2022;20;0;42;3;21.6372;-0.9882;21.6372;1.0;3036;63;Acima do Previsto
10;AMARAL FERRADOR;2022;1;0;2;3;1.0206;0.5;0.4082;2.5;3040;0;Dentro do Previsto
11;AMETISTA DO SUL;2022;0;0;1;3;1.2247;-0.9994;1.2247;1.0;3044;4;Acima do Previsto
12;ANDRE DA ROCHA;2022;0;0;0;3;0.0;;0.0;2.5;3048;0;Dentro do Previsto
13;ANTA GORDA;2022;1;1;1;3;0.0;;0.0;2.5;3052;0;Abaixo do Previsto
14;ANTONIO PRADO;2022;5;0;13;3;8.165;-0.0871;3.266;2.5;3056;3;Dentro do Previsto
15;ARAMBARE;2022;0;0;1;3;0.8165;-0.6363;0.4082;2.0;3060;0;Dentro do Previsto
16;ARARICA;2022;0;0;1;3;2.4495;0.7857;1.633;1.5;3064;1;Dentro do Previsto
17;ARATIBA;2022;6;6;6;3;0.0;-0.2774;0.0;2.5;3068;0;Abaixo do Previsto
18;ARROIO DO MEIO;2022;0;0;4;3;5.7155;0.5641;2.8577;2.0;3072;0;Dentro do Previsto
19;ARROIO DO PADRE;2022;3;1;5;3;2.0412;;0.8165;2.5;3076;0;Abaixo do Previsto
20;ARROIO DO SAL;2022;4;0;11;3;7.3485;-0.6222;3.6742;2.0;3080;5;Dentro do Previsto
21;ARROIO DO TIGRE;2022;1;0;2;3;1.2247;-0.7701;0.8165;1.5;3084;3;Acima do Previsto
22;ARROIO DOS RATOS;2022;6;2;10;3;4.0825;-0.3109;1.633;2.5;3088;4;Dentro do Previsto
23;ARROIO GRANDE;2022;10;10;10;3;0.0;0.9985;0.0;1.0;3092;1;Abaixo do Previsto
24;ARVOREZINHA;2022;4;0;9;3;4.2866;-0.8386;2.8577;1.5;3096;1;Dentro do Previsto
25;AUGUSTO PESTANA;2022;0;0;2;3;1.2247;-0.7924;0.8165;1.5;3100;0;Dentro do Previsto
26;AUREA;2022;0;0;2;3;1.2247;-0.8322;0.8165;1.5;3104;3;Acima do Previsto
27;BAGE;2022;14;12;17;3;2.4495;-0.8032;1.633;1.5;3108;12;Dentro do Previsto
28;BALNEARIO PINHAL;2022;20;16;24;3;4.0825;0.5244;2.0412;2.0;3112;8;Abaixo do Previsto
29;BARAO;2022;4;1;7;3;3.0619;0.2402;1.2247;2.5;3116;0;Abaixo do Previsto
30;BARAO DE COTEGIPE;2022;0;0;0;3;0.0;;0.0;2.5;3120;1;Acima do Previsto
31;BARAO DO TRIUNFO;2022;3;0;10;3;7.1443;0.1461;2.8577;2.5;3124;3;Dentro do Previsto
32;BARRA DO GUARITA;2022;0;0;2;3;2.0412;0.5;0.8165;2.5;3128;3;Acima do Previsto
33;BARRA DO RIBEIRO;2022;12;6;18;3;5.5114;0.7059;3.6742;1.5;3136;2;Abaixo do Previsto
34;BARRA DO RIO AZUL;2022;1;1;2;3;0.4082;0.9449;0.4082;1.0;3140;0;Abaixo do Previsto
35;BARRA FUNDA;2022;0;0;0;3;0.0;;0.0;2.5;3144;0;Dentro do Previsto
36;BARRACAO;2022;0;0;2;3;1.8371;0.8294;1.2247;1.5;3148;3;Acima do Previsto
37;BARROS CASSAL;2022;2;0;4;3;2.0412;0.3449;0.8165;2.5;3152;3;Dentro do Previsto
38;BENJAMIN CONSTANT DO SUL;2022;0;0;0;3;0.0;;0.0;2.5;3156;0;Dentro do Previsto
39;BENTO GONCALVES;2022;32;0;76;3;43.8867;0.1975;17.5547;2.5;3160;25;Dentro do Previsto
