municipio;ano_previsao;previsao_homicidios;margem_erro_k;previsao_min;previsao_max;correlacao_temporal_r;erro_padrao_se;fator_penalidade_fr;n_anos_dados
ACEGUA;2022;1;3.5229;0;5;0.0807;1.4092;2.5;6
ACEGUA;2023;1;3.5229;0;5;0.0807;1.4092;2.5;6
ACEGUA;2024;1;3.5229;0;5;0.0807;1.4092;2.5;6
ACEGUA;2025;1;3.5229;0;5;0.0807;1.4092;2.5;6
AGUA SANTA;2022;2;5.9687;0;8;-0.4303;2.3875;2.5;5
AGUA SANTA;2023;2;5.9687;0;8;-0.4303;2.3875;2.5;5
AGUA SANTA;2024;3;5.9687;0;9;-0.4303;2.3875;2.5;5
AGUA SANTA;2025;3;5.9687;0;9;-0.4303;2.3875;2.5;5
AGUDO;2022;2;4.5981;0;7;-0.6373;2.2991;2.0;6
AGUDO;2023;1;4.5981;0;6;-0.6373;2.2991;2.0;6
AGUDO;2024;0;4.5981;0;5;-0.6373;2.2991;2.0;6
AGUDO;2025;0;4.5981;0;4;-0.6373;2.2991;2.0;6
AJURICABA;2022;0;0.8092;0;1;-0.4029;0.3237;2.5;6
AJURICABA;2023;1;0.8092;0;1;-0.4029;0.3237;2.5;6
AJURICABA;2024;1;0.8092;0;2;-0.4029;0.3237;2.5;6
AJURICABA;2025;1;0.8092;0;2;-0.4029;0.3237;2.5;6
ALECRIM;2022;1;1.1937;0;2;-0.7026;0.7958;1.5;6
ALECRIM;2023;1;1.1937;0;2;-0.7026;0.7958;1.5;6
ALECRIM;2024;0;1.1937;0;2;-0.7026;0.7958;1.5;6
ALECRIM;2025;0;1.1937;0;1;-0.7026;0.7958;1.5;6
ALEGRETE;2022;23;18.2207;5;41;0.0386;7.2883;2.5;6
ALEGRETE;2023;23;18.2207;4;41;0.0386;7.2883;2.5;6
ALEGRETE;2024;22;18.2207;4;41;0.0386;7.2883;2.5;6
ALEGRETE;2025;22;18.2207;4;41;0.0386;7.2883;2.5;6
ALEGRIA;2022;0;1.3138;0;2;0.2352;0.5255;2.5;6
ALEGRIA;2023;1;1.3138;0;2;0.2352;0.5255;2.5;6
ALEGRIA;2024;1;1.3138;0;2;0.2352;0.5255;2.5;6
ALEGRIA;2025;1;1.3138;0;2;0.2352;0.5255;2.5;6
ALMIRANTE TAMANDARE DO SUL;2022;0;0.0;0;0;;0.0;2.5;5
ALMIRANTE TAMANDARE DO SUL;2023;0;0.0;0;0;;0.0;2.5;5
ALMIRANTE TAMANDARE DO SUL;2024;0;0.0;0;0;;0.0;2.5;5
ALMIRANTE TAMANDARE DO SUL;2025;0;0.0;0;0;;0.0;2.5;5
ALPESTRE;2022;3;2.8242;0;6;0.3064;1.1297;2.5;6
ALPESTRE;2023;3;2.8242;0;6;0.3064;1.1297;2.5;6
ALPESTRE;2024;3;2.8242;0;6;0.3064;1.1297;2.5;6
ALPESTRE;2025;3;2.8242;0;6;0.3064;1.1297;2.5;6
ALTO ALEGRE;2023;0;0.8825;0;1;0.866;0.5883;1.5;3
ALTO ALEGRE;2024;0;0.8825;0;1;0.866;0.5883;1.5;3
ALTO FELIZ;2022;0;1.1313;0;1;0.051;0.4525;2.5;6
ALTO FELIZ;2023;0;1.1313;0;1;0.051;0.4525;2.5;6
ALTO FELIZ;2024;0;1.1313;0;1;0.051;0.4525;2.5;6
ALTO FELIZ;2025;0;1.1313;0;1;0.051;0.4525;2.5;6
ALVORADA;2022;62;52.9313;9;115;-0.2572;21.1725;2.5;6
ALVORADA;2023;45;52.9313;0;98;-0.2572;21.1725;2.5;6
ALVORADA;2024;27;52.9313;0;80;-0.2572;21.1725;2.5;6
ALVORADA;2025;9;52.9313;0;62;-0.2572;21.1725;2.5;6
AMARAL FERRADOR;2022;0;1.3138;0;2;0.2114;0.5255;2.5;6
AMARAL FERRADOR;2023;1;1.3138;0;2;0.2114;0.5255;2.5;6
AMARAL FERRADOR;2024;1;1.3138;0;2;0.2114;0.5255;2.5;6
AMARAL FERRADOR;2025;1;1.3138;0;2;0.2114;0.5255;2.5;6
AMETISTA DO SUL;2022;2;3.8499;0;5;-0.2549;1.5399;2.5;6
AMETISTA DO SUL;2023;2;3.8499;0;5;-0.2549;1.5399;2.5;6
AMETISTA DO SUL;2024;2;3.8499;0;5;-0.2549;1.5399;2.5;6
AMETISTA DO SUL;2025;2;3.8499;0;5;-0.2549;1.5399;2.5;6
ANDRE DA ROCHA;2022;0;0.0;0;0;;0.0;2.5;6
ANDRE DA ROCHA;2023;0;0.0;0;0;;0.0;2.5;6
ANDRE DA ROCHA;2024;0;0.0;0;0;;0.0;2.5;6
ANDRE DA ROCHA;2025;0;0.0;0;0;;0.0;2.5;6
ANTA GORDA;2022;1;1.1313;0;2;0.4174;0.4525;2.5;6
ANTA GORDA;2023;0;1.1313;0;2;0.4174;0.4525;2.5;6
ANTA GORDA;2024;0;1.1313;0;1;0.4174;0.4525;2.5;6
ANTA GORDA;2025;0;1.1313;0;1;0.4174;0.4525;2.5;6
ANTONIO PRADO;2022;3;4.6227;0;8;-0.33;1.8491;2.5;6
ANTONIO PRADO;2023;2;4.6227;0;7;-0.33;1.8491;2.5;6
ANTONIO PRADO;2024;1;4.6227;0;6;-0.33;1.8491;2.5;6
ANTONIO PRADO;2025;1;4.6227;0;5;-0.33;1.8491;2.5;6
ARAMBARE;2022;0;0.9129;0;1;-0.4839;0.3651;2.5;6
ARAMBARE;2023;0;0.9129;0;1;-0.4839;0.3651;2.5;6
ARAMBARE;2024;0;0.9129;0;1;-0.4839;0.3651;2.5;6
ARAMBARE;2025;0;0.9129;0;0;-0.4839;0.3651;2.5;6
ARARICA;2022;1;3.2043;0;4;0.3146;1.2817;2.5;6
ARARICA;2023;0;3.2043;0;4;0.3146;1.2817;2.5;6
ARARICA;2024;0;3.2043;0;3;0.3146;1.2817;2.5;6
ARARICA;2025;0;3.2043;0;2;0.3146;1.2817;2.5;6
ARATIBA;2022;3;7.0605;0;10;-0.4761;2.8242;2.5;6
ARATIBA;2023;3;7.0605;0;10;-0.4761;2.8242;2.5;6
ARATIBA;2024;4;7.0605;0;11;-0.4761;2.8242;2.5;6
ARATIBA;2025;5;7.0605;0;12;-0.4761;2.8242;2.5;6
ARROIO DO MEIO;2022;2;6.6771;0;9;0.1184;2.6708;2.5;6
ARROIO DO MEIO;2023;2;6.6771;0;9;0.1184;2.6708;2.5;6
ARROIO DO MEIO;2024;2;6.6771;0;8;0.1184;2.6708;2.5;6
ARROIO DO MEIO;2025;1;6.6771;0;8;0.1184;2.6708;2.5;6
ARROIO DO PADRE;2022;0;2.2625;0;3;-0.17;0.905;2.5;6
ARROIO DO PADRE;2023;0;2.2625;0;3;-0.17;0.905;2.5;6
ARROIO DO PADRE;2024;0;2.2625;0;2;-0.17;0.905;2.5;6
ARROIO DO PADRE;2025;0;2.2625;0;2;-0.17;0.905;2.5;6
ARROIO DO SAL;2022;4;4.0988;0;8;-0.6493;2.0494;2.0;6
ARROIO DO SAL;2023;3;4.0988;0;7;-0.6493;2.0494;2.0;6
ARROIO DO SAL;2024;2;4.0988;0;6;-0.6493;2.0494;2.0;6
ARROIO DO SAL;2025;1;4.0988;0;5;-0.6493;2.0494;2.0;6
ARROIO DO TIGRE;2022;2;1.5916;1;4;-0.6567;0.7958;2.0;6
ARROIO DO TIGRE;2023;2;1.5916;0;3;-0.6567;0.7958;2.0;6
ARROIO DO TIGRE;2024;1;1.5916;0;3;-0.6567;0.7958;2.0;6
ARROIO DO TIGRE;2025;1;1.5916;0;3;-0.6567;0.7958;2.0;6
ARROIO DOS RATOS;2022;9;9.0748;0;18;0.2215;3.6299;2.5;6
ARROIO DOS RATOS;2023;12;9.0748;2;21;0.2215;3.6299;2.5;6
ARROIO DOS RATOS;2024;14;9.0748;5;23;0.2215;3.6299;2.5;6
ARROIO DOS RATOS;2025;17;9.0748;7;26;0.2215;3.6299;2.5;6
ARROIO GRANDE;2022;3;6.4734;0;10;0.4921;2.5894;2.5;6
ARROIO GRANDE;2023;3;6.4734;0;10;0.4921;2.5894;2.5;6
ARROIO GRANDE;2024;3;6.4734;0;10;0.4921;2.5894;2.5;6
ARROIO GRANDE;2025;3;6.4734;0;10;0.4921;2.5894;2.5;6
ARVOREZINHA;2022;3;6.7436;0;10;-0.4072;2.6974;2.5;6
ARVOREZINHA;2023;4;6.7436;0;10;-0.4072;2.6974;2.5;6
ARVOREZINHA;2024;4;6.7436;0;10;-0.4072;2.6974;2.5;6
ARVOREZINHA;2025;4;6.7436;0;10;-0.4072;2.6974;2.5;6
AUGUSTO PESTANA;2022;0;0.8473;0;1;-0.8574;0.5648;1.5;6
AUGUSTO PESTANA;2023;0;0.8473;0;1;-0.8574;0.5648;1.5;6
AUGUSTO PESTANA;2024;0;0.8473;0;1;-0.8574;0.5648;1.5;6
AUGUSTO PESTANA;2025;1;0.8473;0;1;-0.8574;0.5648;1.5;6
AUREA;2022;1;2.708;0;3;-0.6182;1.354;2.0;6
AUREA;2023;1;2.708;0;3;-0.6182;1.354;2.0;6
AUREA;2024;1;2.708;0;3;-0.6182;1.354;2.0;6
AUREA;2025;1;2.708;0;3;-0.6182;1.354;2.0;6
BAGE;2022;21;14.5344;6;35;-0.4683;5.8138;2.5;6
BAGE;2023;18;14.5344;4;33;-0.4683;5.8138;2.5;6
BAGE;2024;16;14.5344;1;31;-0.4683;5.8138;2.5;6
BAGE;2025;14;14.5344;0;28;-0.4683;5.8138;2.5;6
BALNEARIO PINHAL;2022;8;10.2186;0;18;0.5661;5.1093;2.0;6
BALNEARIO PINHAL;2023;9;10.2186;0;19;0.5661;5.1093;2.0;6
BALNEARIO PINHAL;2024;10;10.2186;0;20;0.5661;5.1093;2.0;6
