"Município";"Janeiro";"Fevereiro";"Marco";"Abril";"Maio";"Junho";"Julho";"Agosto";"Setembro";"Outubro";"Novembro";"Dezembro";"Total"
"430003 ACEGUA";3;4;1;4;4;3;5;6;4;1;5;3;43
"430005 AGUA SANTA";-;-;-;-;-;1;1;-;-;-;1;-;3
"430010 AGUDO";12;5;9;7;11;7;15;13;12;12;20;8;131
"430020 AJURICABA";2;1;1;4;3;3;4;6;5;5;5;7;46
"430030 ALECRIM";4;8;3;2;6;8;7;9;12;4;8;4;75
"430040 ALEGRETE";55;48;51;52;46;75;56;62;48;51;57;61;662
"430045 ALEGRIA";-;-;2;2;4;3;2;1;1;2;1;2;20
"430050 ALPESTRE";3;-;6;4;2;3;4;5;-;6;6;7;46
"430055 ALTO ALEGRE";-;-;-;-;-;-;-;-;1;1;-;-;2
"430057 ALTO FELIZ";1;-;1;1;2;-;1;-;1;1;1;1;10
"430060 ALVORADA";68;67;64;78;67;84;104;95;80;81;73;87;948
"430063 AMARAL FERRADOR";4;5;3;1;4;2;2;3;-;2;7;5;38
"430064 AMETISTA DO SUL";1;4;2;3;3;2;4;3;1;5;2;2;32
"430066 ANDRE DA ROCHA";-;-;-;-;1;-;-;1;1;-;-;3;6
"430070 ANTA GORDA";2;4;3;-;4;5;2;4;5;2;4;4;39
"430080 ANTONIO PRADO";14;5;14;6;8;8;9;10;11;11;10;7;113
"430085 ARAMBARE";-;1;-;-;-;-;1;1;3;-;-;1;7
"430087 ARARICA";1;-;4;-;2;4;1;1;-;1;1;-;15
"430090 ARATIBA";4;2;5;4;2;3;4;3;3;3;3;5;41
"430100 ARROIO DO MEIO";16;7;7;5;5;10;8;9;10;14;10;8;109
"430105 ARROIO DO SAL";8;7;3;7;2;3;7;4;2;3;6;3;55
"430107 ARROIO DO PADRE";2;-;-;1;-;1;-;2;-;2;2;-;10
"430110 ARROIO DOS RATOS";4;1;1;-;4;2;2;4;6;6;1;3;34
"430120 ARROIO DO TIGRE";12;11;11;13;14;9;10;7;10;6;14;10;127
"430130 ARROIO GRANDE";9;7;7;12;8;12;11;16;7;6;6;11;112
"430140 ARVOREZINHA";5;6;5;6;5;7;8;11;9;10;8;4;84
"430150 AUGUSTO PESTANA";3;2;3;2;3;3;4;3;1;2;1;3;30
"430155 AUREA";1;2;1;-;-;1;3;4;-;5;-;1;18
"430160 BAGE";101;75;101;88;97;96;119;120;98;99;108;117;1219
"430163 BALNEARIO PINHAL";3;5;-;5;5;6;8;6;3;4;6;7;58
"430165 BARAO";2;1;3;3;2;2;3;2;-;-;-;2;20
"430170 BARAO DE COTEGIPE";1;2;1;2;3;7;1;4;5;1;5;2;34
"430175 BARAO DO TRIUNFO";2;1;-;1;1;1;1;2;2;1;1;2;15
"430180 BARRACAO";2;-;2;-;-;1;2;2;3;1;2;-;15
"430185 BARRA DO GUARITA";-;-;-;1;-;-;1;-;-;-;-;-;2
"430190 BARRA DO RIBEIRO";5;5;9;8;6;7;8;3;4;4;1;6;66
"430192 BARRA DO RIO AZUL";1;-;1;-;-;1;-;-;-;-;1;-;4
"430195 BARRA FUNDA";-;1;-;1;-;1;-;2;1;-;-;-;6
"430200 BARROS CASSAL";1;2;3;2;1;7;7;5;7;3;4;1;43
"430205 BENJAMIN CONSTANT DO SUL";-;-;-;-;-;1;-;-;1;1;-;-;3
"430210 BENTO GONCALVES";73;74;64;55;79;71;113;97;75;53;61;83;898
"430215 BOA VISTA DAS MISSOES";-;-;1;-;-;1;1;-;2;-;1;1;7
"430220 BOA VISTA DO BURICA";3;6;5;4;2;1;7;4;1;3;6;3;45
"430222 BOA VISTA DO CADEADO";-;-;-;-;-;1;-;-;-;-;-;-;1
"430223 BOA VISTA DO INCRA";-;-;1;1;1;-;-;-;1;-;-;-;4
"430225 BOA VISTA DO SUL";-;2;-;1;-;1;-;2;1;-;-;2;9
"430230 BOM JESUS";5;4;5;6;4;5;7;6;5;5;3;9;64
"430235 BOM PRINCIPIO";4;9;4;8;6;6;5;7;3;8;7;7;74
"430237 BOM PROGRESSO";1;-;-;1;2;1;1;-;-;1;2;-;9
"430240 BOM RETIRO DO SUL";4;11;5;5;7;12;6;8;11;6;7;9;91
"430245 BOQUEIRAO DO LEAO";6;6;7;-;1;-;3;4;4;3;6;5;45
"430250 BOSSOROCA";4;-;2;1;5;4;1;2;2;-;3;6;30
"430258 BOZANO";-;-;-;1;1;-;-;-;1;1;2;3;9
"430260 BRAGA";-;1;1;1;3;2;-;1;-;1;-;2;12
"430265 BROCHIER";2;5;3;2;1;3;2;1;-;3;-;2;24
"430270 BUTIA";3;2;6;5;7;10;15;7;8;10;5;4;82
"430280 CACAPAVA DO SUL";25;16;24;18;25;27;28;24;35;25;24;30;301
"430290 CACEQUI";8;8;1;6;6;4;6;4;3;8;4;3;61
"430300 CACHOEIRA DO SUL";94;69;70;66;86;75;103;79;64;82;59;87;934
"430310 CACHOEIRINHA";40;42;41;54;36;53;78;64;74;54;62;74;672
"430320 CACIQUE DOBLE";-;1;1;-;-;-;1;1;3;3;1;1;12
"430330 CAIBATE";1;4;1;3;4;3;6;4;1;5;6;2;40
"430340 CAICARA";2;3;-;3;-;1;-;3;3;1;1;-;17
"430350 CAMAQUA";37;36;45;35;44;49;56;56;66;50;58;56;588
"430355 CAMARGO";1;-;-;-;1;-;-;-;-;-;-;3;5
"430360 CAMBARA DO SUL";3;6;4;2;4;1;2;5;7;-;1;7;42
"430367 CAMPESTRE DA SERRA";-;1;-;2;5;-;-;1;-;-;1;-;10
"430370 CAMPINA DAS MISSOES";4;7;1;3;8;1;1;5;5;4;3;4;46
"430380 CAMPINAS DO SUL";2;7;-;3;7;2;6;7;2;6;6;-;48
"430390 CAMPO BOM";29;23;30;19;32;33;41;36;36;43;31;47;400
"430400 CAMPO NOVO";1;2;2;1;2;4;1;1;3;5;1;7;30
"430410 CAMPOS BORGES";-;1;1;-;2;-;2;1;1;2;1;-;11
"430420 CANDELARIA";15;19;12;7;25;19;20;22;30;29;24;21;243
"430430 CANDIDO GODOI";1;3;5;2;2;7;7;4;3;7;-;8;49
"430435 CANDIOTA";2;1;4;3;4;5;4;5;3;3;3;-;37
"430440 CANELA";24;12;10;17;15;17;21;21;12;20;17;24;210
"430450 CANGUCU";17;27;36;32;31;35;34;24;42;29;33;40;380
"430460 CANOAS";199;199;201;197;233;229;325;311;270;260;297;288;3009
"430461 CANUDOS DO VALE";-;1;-;-;-;1;1;-;-;-;-;-;3
"430462 CAPAO BONITO DO SUL";-;-;-;1;-;-;1;-;-;1;-;-;3
"430463 CAPAO DA CANOA";37;39;41;37;30;29;45;46;30;38;36;51;459
"430465 CAPAO DO CIPO";1;-;1;-;-;-;-;-;1;3;1;-;7
"430466 CAPAO DO LEAO";9;6;5;3;9;6;11;10;14;5;9;11;98
"430467 CAPIVARI DO SUL";-;1;-;1;-;-;1;-;2;-;-;1;6
"430468 CAPELA DE SANTANA";3;2;2;4;2;1;5;-;1;-;2;2;24
"430469 CAPITAO";-;-;1;-;-;-;-;-;1;1;-;-;3
"430470 CARAZINHO";43;51;53;45;57;40;55;51;47;49;50;63;604
"430471 CARAA";2;2;-;1;-;-;-;-;-;-;-;1;6
"430480 CARLOS BARBOSA";16;12;10;5;7;3;8;6;7;10;7;13;104
"430485 CARLOS GOMES";1;-;-;1;1;-;1;-;-;-;1;-;5
"430490 CASCA";7;4;3;3;8;4;3;6;8;7;5;4;62
"430495 CASEIROS";-;1;1;1;-;-;1;-;-;-;2;-;6
"430500 CATUIPE";1;3;4;4;1;3;3;6;2;2;7;7;43
"430510 CAXIAS DO SUL";243;266;277;260;287;295;328;394;339;325;325;399;3738
"430511 CENTENARIO";1;1;-;-;-;-;-;2;-;1;-;1;6
"430512 CERRITO";-;1;1;-;-;-;1;1;1;-;2;-;7
"430513 CERRO BRANCO";1;2;-;4;2;1;1;1;1;2;1;1;17
"430515 CERRO GRANDE";-;-;-;4;-;2;-;-;1;-;-;-;7
"430517 CERRO GRANDE DO SUL";2;2;3;-;4;5;2;8;1;3;3;5;38
"430520 CERRO LARGO";10;6;8;12;10;9;9;9;10;8;9;12;112
"430530 CHAPADA";6;2;5;3;8;2;8;3;4;2;3;4;50
"430535 CHARQUEADAS";16;10;15;16;9;19;24;21;8;16;15;18;187
"430537 CHARRUA";-;-;-;1;-;-;-;-;2;-;2;1;6
"430540 CHIAPETTA";-;5;4;1;2;2;2;2;3;3;4;5;33
"430543 CHUI";1;-;-;2;-;-;1;-;1;1;1;1;8
"430544 CHUVISCA";3;1;1;1;-;1;1;-;2;1;2;1;14
"430545 CIDREIRA";7;9;1;4;6;3;16;13;15;9;10;12;105
"430550 CIRIACO";5;2;-;2;1;1;1;2;1;2;1;1;19
"430558 COLINAS";-;1;2;-;-;1;1;-;-;-;2;-;7
"430560 COLORADO";1;-;1;-;3;-;2;-;-;-;1;1;9
"430570 CONDOR";3;3;-;5;2;1;5;4;7;1;5;5;41
"430580 CONSTANTINA";3;2;5;5;9;7;7;4;5;5;7;7;66
"430583 COQUEIRO BAIXO";2;1;-;-;-;1;1;-;1;-;1;-;7
"430587 CORONEL BARROS";1;1;1;-;1;-;-;1;-;-;2;-;7
"430590 CORONEL BICACO";4;1;5;6;6;3;1;3;2;1;3;4;39
"430595 COTIPORA";2;-;-;-;1;-;1;1;1;1;-;1;8
"430597 COXILHA";2;-;-;1;-;-;-;-;-;1;1;1;6
"430600 CRISSIUMAL";6;3;10;4;15;6;5;18;8;8;9;7;99
"430605 CRISTAL";3;3;-;3;1;4;3;1;2;2;3;1;26
"430607 CRISTAL DO SUL";1;-;1;2;-;-;-;-;1;-;1;1;7
"430610 CRUZ ALTA";60;45;67;56;62;63;70;78;85;55;84;86;811
"430613 CRUZALTENSE";-;-;1;-;-;-;-;-;-;1;-;-;2
"430620 CRUZEIRO DO SUL";5;6;4;9;7;10;12;7;6;4;6;7;83
"430630 DAVID CANABARRO";4;3;1;5;5;8;2;6;2;2;2;3;43
"430632 DERRUBADAS";1;1;-;-;2;2;2;1;1;1;-;3;14
"430635 DEZESSEIS DE NOVEMBRO";-;-;-;-;2;-;1;-;3;-;1;4;11
"430637 DILERMANDO DE AGUIAR";-;1;1;1;3;1;-;1;-;1;-;-;9
"430640 DOIS IRMAOS";10;3;12;16;16;6;13;13;21;11;11;8;140
"430642 DOIS IRMAOS DAS MISSOES";1;-;-;-;1;-;-;1;1;2;-;-;6
"430645 DOIS LAJEADOS";6;5;3;4;8;2;5;4;3;7;2;3;52
"430650 DOM FELICIANO";5;9;13;7;4;5;8;8;5;6;6;6;82
"430655 DOM PEDRO DE ALCANTARA";1;1;-;1;-;1;-;-;-;1;1;1;7
"430660 DOM PEDRITO";20;28;18;15;30;21;24;30;25;24;35;26;296
"430670 DONA FRANCISCA";2;1;2;-;1;1;-;1;3;4;1;3;19
"430673 DOUTOR MAURICIO CARDOSO";3;1;1;2;2;2;2;1;2;2;-;1;19
"430675 DOUTOR RICARDO";-;-;-;-;1;-;-;3;-;-;-;-;4
"430676 ELDORADO DO SUL";10;14;1;4;8;4;17;11;13;10;5;14;111
"430680 ENCANTADO";16;16;11;15;19;21;18;22;17;15;22;18;210
"430690 ENCRUZILHADA DO SUL";8;16;18;14;13;20;19;16;17;21;15;26;203
"430692 ENGENHO VELHO";-;-;-;-;1;-;-;1;1;-;-;-;3
"430693 ENTRE-IJUIS";2;3;3;1;1;1;2;1;4;3;2;4;27
"430695 ENTRE RIOS DO SUL";2;1;2;4;3;3;-;1;-;2;-;1;19
"430697 EREBANGO";1;1;1;-;1;1;1;-;-;1;-;1;8
"430700 ERECHIM";84;66;82;79;83;97;127;107;83;99;102;141;1150
"430705 ERNESTINA";-;1;-;1;-;-;-;1;-;-;-;-;3
"430710 HERVAL";1;3;1;5;5;4;4;2;4;4;5;1;39
"430720 ERVAL GRANDE";2;1;1;1;1;6;-;2;-;1;3;5;23
"430730 ERVAL SECO";3;3;5;4;3;2;4;4;-;4;2;4;38
"430740 ESMERALDA";-;-;-;-;-;-;1;-;-;-;-;-;1
"430745 ESPERANCA DO SUL";1;1;-;2;3;1;-;-;-;2;2;-;12
"430750 ESPUMOSO";9;9;8;18;7;6;12;23;12;14;21;20;159
"430755 ESTACAO";2;2;1;1;2;5;2;6;-;4;1;5;31
"430760 ESTANCIA VELHA";14;11;16;19;15;17;13;16;17;13;16;15;182
"430770 ESTEIO";46;36;29;50;40;39;64;56;63;51;43;61;578
"430780 ESTRELA";35;22;27;30;30;40;38;30;28;35;30;36;381
"430781 ESTRELA VELHA";1;-;-;1;1;1;2;1;-;-;1;1;9
"430783 EUGENIO DE CASTRO";-;-;-;-;2;2;2;2;-;2;-;1;11
"430786 FAGUNDES VARELA";-;-;-;-;-;-;1;1;-;2;1;1;6
"430790 FARROUPILHA";39;23;32;36;31;34;45;32;47;39;45;45;448
"430800 FAXINAL DO SOTURNO";3;3;3;3;5;9;12;5;7;12;7;9;78
"430805 FAXINALZINHO";1;-;-;1;-;-;1;-;-;-;1;-;4
"430807 FAZENDA VILANOVA";-;3;-;-;1;2;1;1;-;1;-;1;10
"430810 FELIZ";5;11;9;11;9;8;8;9;17;10;5;11;113
"430820 FLORES DA CUNHA";11;10;9;10;8;6;10;15;8;11;17;14;129
"430825 FLORIANO PEIXOTO";1;-;1;-;-;1;-;-;-;-;-;-;3
"430830 FONTOURA XAVIER";3;3;4;4;4;3;3;6;5;6;4;3;48
"430840 FORMIGUEIRO";6;2;6;3;2;4;7;1;3;2;4;5;45
"430843 FORQUETINHA";-;-;2;-;-;-;-;-;-;1;-;-;3
"430845 FORTALEZA DOS VALOS";1;6;2;3;2;-;2;2;4;2;5;1;30
"430850 FREDERICO WESTPHALEN";19;25;29;18;20;26;26;27;32;25;12;21;280
"430860 GARIBALDI";8;11;10;12;16;25;23;22;22;18;22;30;219
"430865 GARRUCHOS";1;-;-;1;2;1;1;-;-;1;-;-;7
"430870 GAURAMA";1;1;1;3;4;2;1;2;4;3;4;4;30
"430880 GENERAL CAMARA";2;3;-;-;1;4;1;2;3;1;3;1;21
"430885 GENTIL";1;-;-;1;-;-;-;-;-;-;-;-;2
"430890 GETULIO VARGAS";9;15;7;11;6;12;4;11;9;9;12;10;115
"430900 GIRUA";5;4;8;10;11;9;13;14;9;8;14;7;112
"430905 GLORINHA";-;2;-;1;3;1;-;2;-;-;1;1;11
"430910 GRAMADO";22;24;25;11;18;13;43;29;38;22;31;30;306
"430912 GRAMADO DOS LOUREIROS";1;-;-;-;-;1;-;1;-;-;2;1;6
"430915 GRAMADO XAVIER";-;-;1;1;1;1;-;1;-;1;2;2;10
"430920 GRAVATAI";117;109;119;117;103;132;173;160;152;148;157;154;1641
"430925 GUABIJU";-;-;3;-;-;-;1;-;-;-;1;1;6
"430930 GUAIBA";24;22;35;20;21;29;41;59;41;34;31;36;393
"430940 GUAPORE";10;6;19;12;15;11;17;16;13;17;15;14;165
"430950 GUARANI DAS MISSOES";4;5;15;10;7;5;9;9;11;8;11;3;97
"430955 HARMONIA";1;1;2;1;1;1;1;1;-;-;1;1;11
"430957 HERVEIRAS";-;-;-;-;1;-;-;-;-;1;1;1;4
"430960 HORIZONTINA";6;9;13;10;8;9;8;13;7;7;13;13;116
"430965 HULHA NEGRA";1;2;1;-;2;1;2;-;1;-;-;-;10
"430970 HUMAITA";-;-;3;2;5;1;4;5;2;3;3;6;34
"430975 IBARAMA";3;-;-;1;2;2;2;-;-;2;-;2;14
"430980 IBIACA";2;4;1;1;1;-;1;4;1;2;5;2;24
