uf;municipio;ano;mes;vitimas
RS;ACEGUÁ;2024;1;0.0
RS;ACEGUÁ;2024;2;1.0
RS;ACEGUÁ;2024;3;0.0
RS;ACEGUÁ;2024;4;0.0
RS;ACEGUÁ;2024;5;1.0
RS;ACEGUÁ;2024;6;0.0
RS;ACEGUÁ;2024;7;0.0
RS;ACEGUÁ;2024;8;0.0
RS;ACEGUÁ;2024;9;0.0
RS;ACEGUÁ;2024;10;0.0
RS;ACEGUÁ;2024;11;0.0
RS;ACEGUÁ;2024;12;0.0
RS;AGUDO;2024;1;0.0
RS;AGUDO;2024;2;0.0
RS;AGUDO;2024;3;0.0
RS;AGUDO;2024;4;1.0
RS;AGUDO;2024;5;0.0
RS;AGUDO;2024;6;0.0
RS;AGUDO;2024;7;0.0
RS;AGUDO;2024;8;0.0
RS;AGUDO;2024;9;0.0
RS;AGUDO;2024;10;1.0
RS;AGUDO;2024;11;0.0
RS;AGUDO;2024;12;0.0
RS;AJURICABA;2024;1;0.0
RS;AJURICABA;2024;2;0.0
RS;AJURICABA;2024;3;0.0
RS;AJURICABA;2024;4;0.0
RS;AJURICABA;2024;5;0.0
RS;AJURICABA;2024;6;1.0
RS;AJURICABA;2024;7;0.0
RS;AJURICABA;2024;8;0.0
RS;AJURICABA;2024;9;0.0
RS;AJURICABA;2024;10;0.0
RS;AJURICABA;2024;11;0.0
RS;AJURICABA;2024;12;0.0
RS;ALECRIM;2024;1;0.0
RS;ALECRIM;2024;2;0.0
RS;ALECRIM;2024;3;0.0
RS;ALECRIM;2024;4;1.0
RS;ALECRIM;2024;5;0.0
RS;ALECRIM;2024;6;0.0
RS;ALECRIM;2024;7;0.0
RS;ALECRIM;2024;8;0.0
RS;ALECRIM;2024;9;0.0
RS;ALECRIM;2024;10;0.0
RS;ALECRIM;2024;11;0.0
RS;ALECRIM;2024;12;0.0
RS;ALEGRETE;2024;1;4.0
RS;ALEGRETE;2024;2;1.0
RS;ALEGRETE;2024;3;0.0
RS;ALEGRETE;2024;4;1.0
RS;ALEGRETE;2024;5;2.0
RS;ALEGRETE;2024;6;3.0
RS;ALEGRETE;2024;7;0.0
RS;ALEGRETE;2024;8;2.0
RS;ALEGRETE;2024;9;2.0
RS;ALEGRETE;2024;10;0.0
RS;ALEGRETE;2024;11;0.0
RS;ALEGRETE;2024;12;1.0
RS;ALEGRIA;2024;1;1.0
RS;ALEGRIA;2024;2;0.0
RS;ALEGRIA;2024;3;0.0
RS;ALEGRIA;2024;4;0.0
RS;ALEGRIA;2024;5;0.0
RS;ALEGRIA;2024;6;0.0
RS;ALEGRIA;2024;7;0.0
RS;ALEGRIA;2024;8;0.0
RS;ALEGRIA;2024;9;0.0
RS;ALEGRIA;2024;10;0.0
RS;ALEGRIA;2024;11;0.0
RS;ALEGRIA;2024;12;0.0
RS;ALMIRANTE TAMANDARÉ DO SUL;2024;1;0.0
RS;ALMIRANTE TAMANDARÉ DO SUL;2024;2;0.0
RS;ALMIRANTE TAMANDARÉ DO SUL;2024;3;0.0
RS;ALMIRANTE TAMANDARÉ DO SUL;2024;4;0.0
RS;ALMIRANTE TAMANDARÉ DO SUL;2024;5;0.0
RS;ALMIRANTE TAMANDARÉ DO SUL;2024;6;0.0
RS;ALMIRANTE TAMANDARÉ DO SUL;2024;7;0.0
RS;ALMIRANTE TAMANDARÉ DO SUL;2024;8;0.0
RS;ALMIRANTE TAMANDARÉ DO SUL;2024;9;0.0
RS;ALMIRANTE TAMANDARÉ DO SUL;2024;10;0.0
RS;ALMIRANTE TAMANDARÉ DO SUL;2024;11;0.0
RS;ALMIRANTE TAMANDARÉ DO SUL;2024;12;0.0
RS;ALPESTRE;2024;1;0.0
RS;ALPESTRE;2024;2;0.0
RS;ALPESTRE;2024;3;1.0
RS;ALPESTRE;2024;4;1.0
RS;ALPESTRE;2024;5;1.0
RS;ALPESTRE;2024;6;0.0
RS;ALPESTRE;2024;7;0.0
RS;ALPESTRE;2024;8;0.0
RS;ALPESTRE;2024;9;0.0
RS;ALPESTRE;2024;10;0.0
RS;ALPESTRE;2024;11;0.0
RS;ALPESTRE;2024;12;0.0
RS;ALTO ALEGRE;2024;1;0.0
RS;ALTO ALEGRE;2024;2;0.0
RS;ALTO ALEGRE;2024;3;0.0
RS;ALTO ALEGRE;2024;4;0.0
RS;ALTO ALEGRE;2024;5;0.0
RS;ALTO ALEGRE;2024;6;0.0
RS;ALTO ALEGRE;2024;7;0.0
