municipio;mes_nome;mortes_no_mes_municipio;ano;mes;vitimas_homicidio_no_mes_municipio
ACEGUA;janeiro;6;2023;janeiro;0
AGUA SANTA;janeiro;1;2023;janeiro;0
AGUDO;janeiro;16;2023;janeiro;0
AJURICABA;janeiro;3;2023;janeiro;0
ALECRIM;janeiro;10;2023;janeiro;0
ALEGRETE;janeiro;61;2023;janeiro;0
ALEGRIA;janeiro;1;2023;janeiro;0
ALMIRANTE TAMANDARE DO SUL;janeiro;0;2023;janeiro;0
ALPESTRE;janeiro;5;2023;janeiro;1
ALTO ALEGRE;janeiro;0;2023;janeiro;0
ALTO FELIZ;janeiro;0;2023;janeiro;0
ALVORADA;janeiro;70;2023;janeiro;1
AMARAL FERRADOR;janeiro;1;2023;janeiro;0
AMETISTA DO SUL;janeiro;6;2023;janeiro;0
ANDRE DA ROCHA;janeiro;0;2023;janeiro;0
ANTA GORDA;janeiro;4;2023;janeiro;0
ANTONIO PRADO;janeiro;9;2023;janeiro;0
ARAMBARE;janeiro;1;2023;janeiro;0
ARARICA;janeiro;2;2023;janeiro;0
ARATIBA;janeiro;8;2023;janeiro;0
ARROIO DO MEIO;janeiro;10;2023;janeiro;0
ARROIO DO SAL;janeiro;6;2023;janeiro;1
ARROIO DO PADRE;janeiro;0;2023;janeiro;0
ARROIO DOS RATOS;janeiro;2;2023;janeiro;0
ARROIO DO TIGRE;janeiro;12;2023;janeiro;0
ARROIO GRANDE;janeiro;16;2023;janeiro;2
ARVOREZINHA;janeiro;4;2023;janeiro;0
AUGUSTO PESTANA;janeiro;4;2023;janeiro;0
AUREA;janeiro;1;2023;janeiro;0
BAGE;janeiro;86;2023;janeiro;1
BALNEARIO PINHAL;janeiro;7;2023;janeiro;0
BARAO;janeiro;1;2023;janeiro;0
BARAO DE COTEGIPE;janeiro;5;2023;janeiro;0
BARAO DO TRIUNFO;janeiro;1;2023;janeiro;0
BARRACAO;janeiro;3;2023;janeiro;0
BARRA DO GUARITA;janeiro;0;2023;janeiro;0
BARRA DO RIBEIRO;janeiro;3;2023;janeiro;0
BARRA DO RIO AZUL;janeiro;0;2023;janeiro;0
BARRA FUNDA;janeiro;1;2023;janeiro;0
BARROS CASSAL;janeiro;1;2023;janeiro;0
BENJAMIN CONSTANT DO SUL;janeiro;0;2023;janeiro;0
BENTO GONCALVES;janeiro;63;2023;janeiro;3
BOA VISTA DAS MISSOES;janeiro;1;2023;janeiro;0
BOA VISTA DO BURICA;janeiro;7;2023;janeiro;0
BOA VISTA DO INCRA;janeiro;0;2023;janeiro;0
BOA VISTA DO SUL;janeiro;2;2023;janeiro;0
BOM JESUS;janeiro;4;2023;janeiro;0
BOM PRINCIPIO;janeiro;6;2023;janeiro;0
BOM PROGRESSO;janeiro;1;2023;janeiro;0
BOM RETIRO DO SUL;janeiro;9;2023;janeiro;0
BOQUEIRAO DO LEAO;janeiro;1;2023;janeiro;0
BOSSOROCA;janeiro;3;2023;janeiro;0
BOZANO;janeiro;0;2023;janeiro;0
BRAGA;janeiro;0;2023;janeiro;0
BROCHIER;janeiro;2;2023;janeiro;0
BUTIA;janeiro;7;2023;janeiro;3
CACAPAVA DO SUL;janeiro;23;2023;janeiro;0
CACEQUI;janeiro;11;2023;janeiro;2
CACHOEIRA DO SUL;janeiro;49;2023;janeiro;0
CACHOEIRINHA;janeiro;31;2023;janeiro;0
CACIQUE DOBLE;janeiro;0;2023;janeiro;0
CAIBATE;janeiro;6;2023;janeiro;2
CAICARA;janeiro;1;2023;janeiro;0
CAMAQUA;janeiro;62;2023;janeiro;0
CAMARGO;janeiro;0;2023;janeiro;0
CAMBARA DO SUL;janeiro;2;2023;janeiro;0
CAMPESTRE DA SERRA;janeiro;0;2023;janeiro;0
CAMPINA DAS MISSOES;janeiro;1;2023;janeiro;0
CAMPINAS DO SUL;janeiro;1;2023;janeiro;0
CAMPO BOM;janeiro;29;2023;janeiro;0
CAMPO NOVO;janeiro;2;2023;janeiro;0
CAMPOS BORGES;janeiro;5;2023;janeiro;0
CANDELARIA;janeiro;23;2023;janeiro;0
CANDIDO GODOI;janeiro;5;2023;janeiro;0
CANDIOTA;janeiro;0;2023;janeiro;0
CANELA;janeiro;17;2023;janeiro;1
CANGUCU;janeiro;52;2023;janeiro;1
CANOAS;janeiro;236;2023;janeiro;9
CANUDOS DO VALE;janeiro;0;2023;janeiro;0
CAPAO BONITO DO SUL;janeiro;0;2023;janeiro;0
CAPAO DA CANOA;janeiro;52;2023;janeiro;3
CAPAO DO CIPO;janeiro;1;2023;janeiro;1
CAPAO DO LEAO;janeiro;4;2023;janeiro;0
CAPIVARI DO SUL;janeiro;0;2023;janeiro;0
CAPELA DE SANTANA;janeiro;6;2023;janeiro;0
CAPITAO;janeiro;0;2023;janeiro;0
CARAZINHO;janeiro;60;2023;janeiro;0
CARAA;janeiro;0;2023;janeiro;0
CARLOS BARBOSA;janeiro;19;2023;janeiro;0
CARLOS GOMES;janeiro;0;2023;janeiro;0
CASCA;janeiro;7;2023;janeiro;0
CASEIROS;janeiro;1;2023;janeiro;0
CATUIPE;janeiro;6;2023;janeiro;0
CAXIAS DO SUL;janeiro;308;2023;janeiro;8
CENTENARIO;janeiro;0;2023;janeiro;0
CERRITO;janeiro;1;2023;janeiro;0
CERRO BRANCO;janeiro;1;2023;janeiro;0
CERRO GRANDE;janeiro;0;2023;janeiro;1
CERRO GRANDE DO SUL;janeiro;2;2023;janeiro;1
CERRO LARGO;janeiro;4;2023;janeiro;0
CHAPADA;janeiro;6;2023;janeiro;0
CHARQUEADAS;janeiro;17;2023;janeiro;0
CHARRUA;janeiro;0;2023;janeiro;0
CHIAPETTA;janeiro;5;2023;janeiro;0
CHUI;janeiro;1;2023;janeiro;0
CHUVISCA;janeiro;0;2023;janeiro;0
CIDREIRA;janeiro;12;2023;janeiro;0
CIRIACO;janeiro;1;2023;janeiro;0
COLINAS;janeiro;2;2023;janeiro;0
COLORADO;janeiro;2;2023;janeiro;0
CONDOR;janeiro;5;2023;janeiro;0
CONSTANTINA;janeiro;7;2023;janeiro;0
COQUEIRO BAIXO;janeiro;2;2023;janeiro;0
COQUEIROS DO SUL;janeiro;1;2023;janeiro;0
CORONEL BARROS;janeiro;1;2023;janeiro;0
CORONEL BICACO;janeiro;3;2023;janeiro;0
CORONEL PILAR;janeiro;0;2023;janeiro;0
COTIPORA;janeiro;0;2023;janeiro;0
COXILHA;janeiro;0;2023;janeiro;0
CRISSIUMAL;janeiro;12;2023;janeiro;0
CRISTAL;janeiro;1;2023;janeiro;0
CRISTAL DO SUL;janeiro;1;2023;janeiro;0
CRUZ ALTA;janeiro;57;2023;janeiro;2
CRUZALTENSE;janeiro;0;2023;janeiro;0
CRUZEIRO DO SUL;janeiro;7;2023;janeiro;1
DAVID CANABARRO;janeiro;4;2023;janeiro;0
DERRUBADAS;janeiro;0;2023;janeiro;0
DEZESSEIS DE NOVEMBRO;janeiro;0;2023;janeiro;0
DILERMANDO DE AGUIAR;janeiro;1;2023;janeiro;0
DOIS IRMAOS;janeiro;10;2023;janeiro;0
DOIS IRMAOS DAS MISSOES;janeiro;0;2023;janeiro;0
DOIS LAJEADOS;janeiro;1;2023;janeiro;2
DOM FELICIANO;janeiro;6;2023;janeiro;0
DOM PEDRO DE ALCANTARA;janeiro;1;2023;janeiro;0
DOM PEDRITO;janeiro;15;2023;janeiro;3
DONA FRANCISCA;janeiro;0;2023;janeiro;0
DOUTOR MAURICIO CARDOSO;janeiro;2;2023;janeiro;0
DOUTOR RICARDO;janeiro;0;2023;janeiro;0
ELDORADO DO SUL;janeiro;7;2023;janeiro;0
ENCANTADO;janeiro;19;2023;janeiro;0
ENCRUZILHADA DO SUL;janeiro;20;2023;janeiro;0
ENGENHO VELHO;janeiro;0;2023;janeiro;0
ENTRE-IJUIS;janeiro;2;2023;janeiro;0
ENTRE RIOS DO SUL;janeiro;0;2023;janeiro;0
EREBANGO;janeiro;0;2023;janeiro;0
ERECHIM;janeiro;102;2023;janeiro;2
ERNESTINA;janeiro;1;2023;janeiro;0
HERVAL;janeiro;5;2023;janeiro;0
ERVAL GRANDE;janeiro;3;2023;janeiro;0
ERVAL SECO;janeiro;2;2023;janeiro;0
ESMERALDA;janeiro;0;2023;janeiro;0
ESPERANCA DO SUL;janeiro;0;2023;janeiro;0
ESPUMOSO;janeiro;13;2023;janeiro;0
