Município;Janeiro;Fevereiro;Marco;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro;Total
ACEGUA;3;3;3;2;3;1;4;1;1;2;3;2;28
AGUA SANTA;0;0;0;0;0;0;1;0;1;1;0;3;6
AGUDO;21;15;8;13;19;23;20;10;13;10;11;9;172
AJURICABA;2;2;6;4;6;8;6;6;4;2;4;2;52
ALECRIM;20;4;6;8;15;10;4;7;6;9;3;5;97
ALEGRETE;98;67;60;54;66;86;84;69;58;63;53;49;807
ALEGRIA;1;1;1;1;2;0;0;1;1;0;0;1;9
ALMIRANTE TAMANDARE DO SUL;0;0;0;0;2;0;0;1;0;0;0;1;4
ALPESTRE;5;5;5;4;3;6;6;3;3;2;6;3;51
ALTO FELIZ;0;0;1;0;0;0;0;0;0;1;2;2;6
ALVORADA;106;73;78;67;75;119;68;102;76;69;64;81;978
AMARAL FERRADOR;4;1;5;3;2;0;4;1;1;4;3;0;28
AMETISTA DO SUL;5;2;7;2;3;7;4;3;3;4;2;3;45
ANDRE DA ROCHA;2;2;0;0;1;0;0;0;0;0;0;1;6
ANTA GORDA;3;1;3;2;6;3;2;5;3;1;2;2;33
ANTONIO PRADO;7;11;10;8;12;15;11;12;6;8;8;9;117
ARAMBARE;2;3;2;3;1;3;2;2;2;2;1;1;24
ARARICA;0;1;1;2;2;1;1;0;2;2;2;3;17
ARATIBA;6;3;3;1;3;6;6;4;6;3;5;3;49
ARROIO DO MEIO;13;12;17;14;18;16;24;11;15;15;5;9;169
ARROIO DO SAL;12;6;2;2;4;7;3;4;6;3;2;13;64
ARROIO DO PADRE;1;1;1;0;0;0;1;1;1;1;1;0;8
ARROIO DOS RATOS;9;3;3;5;4;7;5;4;9;3;3;5;60
ARROIO DO TIGRE;17;11;10;11;15;18;18;15;8;11;11;5;150
ARROIO GRANDE;11;8;8;9;11;16;21;14;7;8;10;5;128
ARVOREZINHA;10;7;10;12;9;10;5;8;9;9;3;8;100
AUGUSTO PESTANA;6;1;3;5;3;2;7;1;2;5;3;3;41
AUREA;8;0;1;0;1;0;2;1;0;1;0;2;16
BAGE;143;115;94;101;112;115;132;133;115;114;100;114;1388
BALNEARIO PINHAL;15;3;6;11;5;7;10;11;11;7;6;13;105
BARAO;4;1;2;2;1;3;0;0;1;3;3;5;25
BARAO DE COTEGIPE;5;5;2;2;1;3;4;2;5;5;4;5;43
BARAO DO TRIUNFO;1;0;5;4;3;3;3;3;5;2;3;1;33
BARRACAO;3;4;2;0;2;1;1;2;1;1;4;2;23
BARRA DO GUARITA;3;0;0;2;0;0;0;2;0;1;0;0;8
BARRA DO QUARAI;0;0;0;0;0;0;1;0;0;0;0;0;1
BARRA DO RIBEIRO;5;5;2;5;10;11;7;5;7;9;5;6;77
BARRA DO RIO AZUL;0;0;1;0;2;1;0;0;1;0;1;0;6
BARRA FUNDA;0;0;1;0;1;1;1;0;0;0;0;1;5
BARROS CASSAL;1;1;1;3;3;3;1;2;2;5;3;3;28
BENJAMIN CONSTANT DO SUL;1;0;2;0;0;1;1;0;2;1;1;0;9
BENTO GONCALVES;74;84;81;65;91;98;94;67;69;72;68;62;925
BOA VISTA DAS MISSOES;1;0;0;1;0;2;0;0;0;0;1;1;6
BOA VISTA DO BURICA;3;4;4;9;15;4;6;4;2;3;1;6;61
BOA VISTA DO CADEADO;0;0;1;0;1;0;1;0;1;0;0;2;6
BOA VISTA DO INCRA;2;1;1;0;0;0;0;0;0;0;3;0;7
BOA VISTA DO SUL;1;0;0;0;1;0;0;0;0;0;0;0;2
BOM JESUS;5;2;5;5;3;2;6;6;4;4;10;3;55
BOM PRINCIPIO;5;8;7;12;9;9;6;4;8;10;4;5;87
BOM PROGRESSO;1;0;0;0;1;1;0;1;0;1;0;0;5
BOM RETIRO DO SUL;15;12;13;11;7;10;14;7;13;6;6;7;121
BOQUEIRAO DO LEAO;3;7;4;1;8;4;5;5;3;4;1;4;49
BOSSOROCA;1;1;1;0;5;2;1;1;1;1;3;0;17
BOZANO;0;1;1;1;1;0;1;0;1;0;0;1;7
BRAGA;1;0;0;2;1;1;0;1;0;1;0;0;7
BROCHIER;5;4;3;1;2;1;1;3;3;2;4;0;29
BUTIA;10;6;5;7;5;11;10;8;5;6;6;7;86
CACAPAVA DO SUL;23;24;23;21;31;38;38;37;25;25;28;23;336
CACEQUI;11;9;6;9;11;8;11;9;5;6;4;6;95
CACHOEIRA DO SUL;99;92;84;88;102;103;106;104;104;82;79;92;1135
CACHOEIRINHA;68;58;48;45;60;66;66;58;55;51;54;42;671
CACIQUE DOBLE;0;2;1;0;1;3;1;0;3;2;1;1;15
CAIBATE;8;3;4;2;6;6;4;5;4;3;3;3;51
CAICARA;4;3;2;2;3;3;2;2;2;4;2;1;30
CAMAQUA;76;77;62;65;71;110;84;83;68;61;55;54;866
CAMARGO;1;0;0;0;0;1;1;2;3;2;0;1;11
CAMBARA DO SUL;6;3;0;3;7;3;6;6;3;4;3;3;47
CAMPESTRE DA SERRA;0;1;1;0;1;2;1;1;1;3;0;1;12
CAMPINA DAS MISSOES;6;5;2;3;7;9;8;6;7;4;6;7;70
CAMPINAS DO SUL;4;3;3;3;5;4;4;4;5;5;7;3;50
CAMPO BOM;46;27;28;35;41;29;43;37;39;39;37;33;434
CAMPO NOVO;4;5;8;4;5;1;1;7;1;7;5;4;52
CAMPOS BORGES;1;4;0;0;3;0;1;4;1;6;0;0;20
CANDELARIA;33;19;19;29;29;37;46;17;22;25;28;31;335
CANDIDO GODOI;5;3;8;5;7;3;7;4;5;3;4;5;59
CANDIOTA;5;3;2;2;4;3;6;2;0;5;2;2;36
CANELA;18;14;23;19;22;29;23;25;24;17;23;16;253
CANGUCU;39;34;41;41;56;58;61;49;40;49;35;38;541
CANOAS;317;276;229;231;256;315;273;288;239;203;231;234;3092
CANUDOS DO VALE;0;1;1;1;1;2;0;0;1;2;0;0;9
CAPAO BONITO DO SUL;0;1;0;1;0;0;0;1;0;1;0;1;5
CAPAO DA CANOA;66;32;48;43;50;53;56;51;66;40;31;41;577
CAPAO DO CIPO;0;0;0;0;1;0;0;0;1;1;0;0;3
CAPAO DO LEAO;12;2;11;1;4;8;12;10;10;8;7;7;92
CAPIVARI DO SUL;1;1;1;1;0;0;0;1;0;0;1;0;6
CAPELA DE SANTANA;5;3;4;4;4;3;1;4;3;3;2;5;41
CAPITAO;0;1;1;0;0;0;3;1;0;0;2;0;8
CARAZINHO;82;61;55;54;74;78;57;55;60;52;47;59;734
CARAA;2;0;2;1;0;0;1;1;0;0;1;1;9
CARLOS BARBOSA;14;18;16;9;8;13;15;19;14;16;12;7;161
CARLOS GOMES;2;0;0;2;0;4;0;0;2;0;1;0;11
CASCA;4;5;7;7;8;16;6;4;8;7;5;5;82
CASEIROS;0;0;0;0;0;1;2;0;0;0;2;0;5
CATUIPE;3;6;7;7;3;5;6;5;1;5;3;10;61
CAXIAS DO SUL;366;374;305;315;398;408;359;343;306;299;304;249;4026
CENTENARIO;0;0;0;0;1;1;1;1;0;2;0;1;7
CERRITO;4;0;0;1;1;2;1;4;2;1;0;1;17
CERRO BRANCO;0;1;1;1;2;1;3;0;3;0;0;1;13
CERRO GRANDE;0;2;1;0;2;2;0;1;1;0;3;0;12
CERRO GRANDE DO SUL;5;2;3;3;4;2;4;6;1;2;1;4;37
CERRO LARGO;13;10;11;13;15;9;8;14;9;5;8;5;120
CHAPADA;6;4;4;2;9;6;7;3;4;2;8;8;63
CHARQUEADAS;35;32;11;15;15;24;31;21;15;22;15;20;256
CHARRUA;1;1;0;0;1;0;0;1;0;0;3;1;8
CHIAPETTA;4;2;3;3;4;2;6;3;3;6;0;1;37
