municipio;mes;ano;vitimas_homicidio_no_mes_municipio
ACEGUA;janeiro;2023;0
ACEGUA;fevereiro;2023;0
ACEGUA;marco;2023;0
ACEGUA;abril;2023;0
ACEGUA;maio;2023;0
ACEGUA;junho;2023;0
ACEGUA;julho;2023;0
ACEGUA;agosto;2023;0
ACEGUA;setembro;2023;0
ACEGUA;outubro;2023;0
ACEGUA;novembro;2023;0
ACEGUA;dezembro;2023;0
AGUDO;janeiro;2023;0
AGUDO;fevereiro;2023;0
AGUDO;marco;2023;0
AGUDO;abril;2023;0
AGUDO;maio;2023;0
AGUDO;junho;2023;0
AGUDO;julho;2023;0
AGUDO;agosto;2023;0
AGUDO;setembro;2023;0
AGUDO;outubro;2023;0
AGUDO;novembro;2023;0
AGUDO;dezembro;2023;0
AJURICABA;janeiro;2023;0
AJURICABA;fevereiro;2023;0
AJURICABA;marco;2023;0
AJURICABA;abril;2023;0
AJURICABA;maio;2023;0
AJURICABA;junho;2023;0
AJURICABA;julho;2023;0
AJURICABA;agosto;2023;0
AJURICABA;setembro;2023;0
AJURICABA;outubro;2023;0
AJURICABA;novembro;2023;1
AJURICABA;dezembro;2023;0
ALECRIM;janeiro;2023;0
ALECRIM;fevereiro;2023;0
ALECRIM;marco;2023;0
ALECRIM;abril;2023;0
ALECRIM;maio;2023;0
ALECRIM;junho;2023;0
ALECRIM;julho;2023;0
ALECRIM;agosto;2023;0
ALECRIM;setembro;2023;0
ALECRIM;outubro;2023;0
ALECRIM;novembro;2023;0
ALECRIM;dezembro;2023;0
ALEGRETE;janeiro;2023;0
ALEGRETE;fevereiro;2023;4
ALEGRETE;marco;2023;1
ALEGRETE;abril;2023;3
ALEGRETE;maio;2023;4
ALEGRETE;junho;2023;2
ALEGRETE;julho;2023;0
ALEGRETE;agosto;2023;0
ALEGRETE;setembro;2023;3
ALEGRETE;outubro;2023;5
ALEGRETE;novembro;2023;0
ALEGRETE;dezembro;2023;1
ALEGRIA;janeiro;2023;0
ALEGRIA;fevereiro;2023;0
ALEGRIA;marco;2023;0
ALEGRIA;abril;2023;0
ALEGRIA;maio;2023;0
ALEGRIA;junho;2023;0
ALEGRIA;julho;2023;0
ALEGRIA;agosto;2023;0
ALEGRIA;setembro;2023;0
ALEGRIA;outubro;2023;0
ALEGRIA;novembro;2023;0
ALEGRIA;dezembro;2023;0
ALMIRANTE TAMANDARE DO SUL;janeiro;2023;0
ALMIRANTE TAMANDARE DO SUL;fevereiro;2023;0
ALMIRANTE TAMANDARE DO SUL;marco;2023;0
