municipio;mes_nome;mortes_no_mes_municipio;ano;mes
ACEGUA;janeiro;1;2019;1.0
AGUDO;janeiro;7;2019;1.0
AJURICABA;janeiro;5;2019;1.0
ALECRIM;janeiro;2;2019;1.0
ALEGRETE;janeiro;57;2019;1.0
ALEGRIA;janeiro;0;2019;1.0
ALMIRANTE TAMANDARE DO SUL;janeiro;0;2019;1.0
ALPESTRE;janeiro;8;2019;1.0
ALTO ALEGRE;janeiro;0;2019;1.0
ALTO FELIZ;janeiro;1;2019;1.0
ALVORADA;janeiro;77;2019;1.0
AMARAL FERRADOR;janeiro;2;2019;1.0
AMETISTA DO SUL;janeiro;2;2019;1.0
ANDRE DA ROCHA;janeiro;0;2019;1.0
ANTA GORDA;janeiro;2;2019;1.0
ANTONIO PRADO;janeiro;6;2019;1.0
ARAMBARE;janeiro;0;2019;1.0
ARARICA;janeiro;3;2019;1.0
ARATIBA;janeiro;9;2019;1.0
ARROIO DO MEIO;janeiro;9;2019;1.0
ARROIO DO SAL;janeiro;6;2019;1.0
ARROIO DO PADRE;janeiro;0;2019;1.0
ARROIO DOS RATOS;janeiro;5;2019;1.0
ARROIO DO TIGRE;janeiro;8;2019;1.0
ARROIO GRANDE;janeiro;4;2019;1.0
ARVOREZINHA;janeiro;3;2019;1.0
AUGUSTO PESTANA;janeiro;2;2019;1.0
AUREA;janeiro;2;2019;1.0
BAGE;janeiro;93;2019;1.0
BALNEARIO PINHAL;janeiro;9;2019;1.0
BARAO;janeiro;2;2019;1.0
BARAO DE COTEGIPE;janeiro;1;2019;1.0
BARAO DO TRIUNFO;janeiro;1;2019;1.0
BARRACAO;janeiro;3;2019;1.0
BARRA DO GUARITA;janeiro;0;2019;1.0
BARRA DO QUARAI;janeiro;0;2019;1.0
BARRA DO RIBEIRO;janeiro;5;2019;1.0
BARRA DO RIO AZUL;janeiro;0;2019;1.0
BARRA FUNDA;janeiro;0;2019;1.0
BARROS CASSAL;janeiro;2;2019;1.0
BENJAMIN CONSTANT DO SUL;janeiro;1;2019;1.0
BENTO GONCALVES;janeiro;66;2019;1.0
